feature,pred_0,pred_1
LIQRESOR,-0.03,0.03
REALPROP,0.0,0.0
WRK_POOR,-0.0,0.0
RAWNET,-0.01,0.01
FSNONCIT,0.04,-0.04
FSTANF,0.03,-0.03
FSERNDED,-0.02,0.02
SHELDED,0.1,-0.1
CERTHHSZ,0.01,-0.01
HWGT,0.07,-0.07
FSSLTDE2,-0.01,0.01
FSGRINC,0.0,-0.0
FSEARN,-0.01,0.01
FSSTDDE2,0.04,-0.04
FSTOTDE2,0.0,-0.0
FSTOTDED,-0.06,0.06
RAWERND,-0.01,0.01
FSUNEARN,0.03,-0.03
TANF_IND,0.02,-0.02
FSNELDER,-0.0,0.0
TPOV,0.01,-0.01
FSSLTDED,0.12,-0.12
FSDIS,0.0,-0.0
FSASSET,-0.03,0.03
FSERNDE2,-0.01,0.01
FSWAGES,-0.01,0.01
FSUSIZE,-0.0,0.0
FSSSI,0.02,-0.02
FSNETINC,-0.0,0.0
FSGA,0.01,-0.01
VEHICLEA,-0.01,0.01
FSVEHAST,0.0,0.0
