state,SHELDED,FSSLTDED,FSTOTDED,HWGT,FSUNEARN,FSSTDDE2,TANF_IND,FSUSIZE,LIQRESOR,WRK_POOR,RAWERND,FSASSET,FSEARN,CERTHHSZ,FSWAGES
Connecticut,584,584,744,3575,920,240,0,1,0,0,0,0,0,1,0
Connecticut,968,969,1171,3704,1197,240,0,1,0,1,42,0,212,1,212
Connecticut,969,969,1129,3521,1278,240,0,1,0,0,0,0,0,1,0
Connecticut,0,0,160,3216,0,0,0,1,0,0,0,0,0,1,0
Connecticut,802,802,962,3527,1113,240,0,1,0,0,0,0,0,1,0
Connecticut,728,546,1049,4416,0,240,0,1,0,1,343,0,1716,1,1716
Connecticut,535,535,2299,2763,860,24,0,3,0,1,261,0,1303,3,1303
Connecticut,576,576,736,3778,1011,240,0,1,0,0,0,0,0,1,0
Connecticut,1054,1054,1214,3216,909,0,0,1,0,0,0,0,0,1,0
Connecticut,0,0,160,2763,26,26,0,3,0,0,0,0,0,3,0
Connecticut,966,966,1172,3541,1331,240,0,1,0,0,0,0,0,1,0
Connecticut,696,696,856,4022,1250,240,0,1,0,0,0,0,0,1,0
Connecticut,535,535,695,2962,515,44,0,2,0,0,0,0,0,2,0
Connecticut,535,535,899,3466,0,160,0,1,0,1,204,0,1022,1,1022
Connecticut,535,535,695,2962,200,0,0,2,0,0,0,0,0,2,0
Connecticut,517,535,695,3216,650,115,0,1,0,0,0,0,0,1,0
Connecticut,1341,1341,1501,3216,1245,0,0,1,0,0,0,0,0,1,0
Connecticut,535,535,843,4294,1332,266,0,6,0,1,80,0,400,6,400
Connecticut,335,335,765,3770,0,255,0,4,0,1,261,0,1303,4,1303
Connecticut,535,535,1068,4589,0,160,0,2,0,1,374,0,1867,2,1867
Connecticut,0,0,160,4389,735,160,0,1,0,0,0,0,0,1,0
Connecticut,535,535,940,3805,0,160,0,1,0,1,246,0,1229,1,1229
Connecticut,535,535,808,3216,0,0,0,1,0,1,114,0,568,1,568
Connecticut,831,831,991,3216,754,3,0,1,0,0,0,0,0,1,0
Connecticut,226,226,386,4280,909,240,0,1,0,0,0,0,0,1,0
Connecticut,561,561,908,3277,0,240,0,1,0,1,188,0,938,1,938
Connecticut,452,452,612,3312,879,240,1,3,0,0,0,0,0,3,0
Connecticut,1053,535,728,2962,219,0,0,2,0,1,34,0,168,2,168
Connecticut,535,535,1023,4024,0,160,0,3,0,1,328,0,1641,3,1641
Connecticut,0,0,160,3216,0,0,0,1,0,0,0,0,0,1,0
Connecticut,535,535,695,2962,0,0,0,2,0,0,0,0,0,2,0
Connecticut,535,535,695,2763,647,112,1,3,0,0,0,0,0,3,0
Connecticut,945,945,1105,3216,826,0,0,1,0,0,0,0,0,1,0
Connecticut,0,0,160,3216,0,0,0,1,0,0,0,0,0,1,0
Connecticut,0,0,170,2672,0,0,0,4,0,0,0,0,0,4,0
Connecticut,321,321,491,4252,1267,255,0,4,0,0,0,0,0,4,0
Connecticut,0,0,160,3216,0,0,0,1,0,0,0,0,0,1,0
Connecticut,741,741,901,3216,735,74,0,1,0,0,0,0,0,1,0
Connecticut,535,535,705,2672,0,0,0,4,0,0,0,0,0,4,0
Connecticut,535,535,1456,3698,0,160,0,3,0,1,383,0,1915,3,1915
Connecticut,648,648,808,3216,755,187,0,1,0,0,0,0,0,1,0
Connecticut,535,535,695,2763,533,68,0,3,0,0,0,0,0,3,0
Connecticut,535,535,861,4295,782,160,0,3,0,1,166,0,831,3,831
Connecticut,596,596,756,3887,1085,240,0,1,0,0,0,0,0,1,0
Connecticut,535,535,705,2672,0,0,0,4,0,0,0,0,0,4,0
Connecticut,572,571,731,3270,756,240,0,1,0,0,0,0,0,1,0
Connecticut,0,0,160,3216,0,0,0,1,0,0,0,0,0,1,0
Connecticut,491,491,651,4416,1260,240,0,1,0,0,0,0,0,1,0
Connecticut,573,573,733,5247,2370,240,0,2,0,0,0,0,0,2,0
Connecticut,535,535,799,3216,0,0,0,1,0,1,104,0,521,1,521
Connecticut,535,535,867,3216,0,153,0,1,0,1,172,0,860,1,860
Connecticut,781,781,941,5125,2004,240,0,2,0,0,0,0,0,2,0
Connecticut,388,388,1287,4621,0,240,0,3,0,1,440,0,2198,3,2198
Connecticut,0,0,160,3216,0,0,0,1,0,0,0,0,0,1,0
Connecticut,587,587,747,3256,765,240,0,1,0,0,0,0,0,1,0
Connecticut,630,630,790,3216,735,185,0,1,0,0,0,0,0,1,0
Connecticut,570,570,730,3216,676,186,0,1,0,0,0,0,0,1,0
Connecticut,602,516,676,4366,1364,240,0,2,0,0,0,0,0,2,0
Connecticut,539,539,1095,4416,103,240,0,1,0,1,396,0,1982,1,1982
Connecticut,0,0,160,3216,0,0,0,1,0,0,0,0,0,1,0
Connecticut,675,675,835,3216,717,122,0,1,0,0,0,0,0,1,0
Connecticut,0,0,160,3216,0,0,0,1,0,0,0,0,0,1,0
Connecticut,535,535,1328,4020,0,160,0,2,0,1,369,0,1845,2,1845
Connecticut,535,535,833,2763,0,18,0,3,0,1,138,0,691,3,691
Connecticut,484,484,644,4206,1128,240,0,1,0,0,0,0,0,1,0
Connecticut,631,631,791,3724,994,240,0,1,0,0,0,0,0,1,0
Connecticut,873,873,1128,4134,989,240,0,1,0,1,95,0,476,1,476
Connecticut,535,535,695,2751,162,0,1,2,0,0,0,0,0,2,0
Connecticut,684,684,844,3434,949,240,0,1,0,0,0,0,0,1,0
Connecticut,535,535,695,3114,0,0,0,1,0,0,0,0,0,1,0
Connecticut,700,700,860,3444,967,240,0,1,0,0,0,0,0,1,0
Connecticut,0,0,160,3114,0,0,0,1,0,0,0,0,0,1,0
Connecticut,0,0,160,3114,0,0,0,1,0,0,0,0,0,1,0
Connecticut,535,535,695,3114,0,0,0,1,0,0,0,0,0,1,0
Connecticut,890,883,1043,2751,751,0,0,2,0,0,0,0,0,2,0
